search URL:,https://patents.google.com/?q=AR&country=KR
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-101736477-B1,Local sensor augmentation of stored content and ar communication ,인텔 코포레이션,글렌 제이 앤더슨,2011-12-20,2011-12-20,2017-05-16,2017-05-16,https://patents.google.com/patent/KR101736477B1/en,https://patentimages.storage.googleapis.com/cc/97/fb/e9a307cb8805dc/112014057124301-pct00001.png
KR-20070097084-A,Durable high index nanocomposites for ar coatings ,쓰리엠 이노베이티브 프로퍼티즈 컴파니,"에밀리 에스. 고엔너, 조안 엠. 노얄라, 샤론 왕, 크리스토퍼 비. 주니어 워커, 비비안 더블유. 존스, 브랜트 유. 콜브",2004-12-30,2005-12-21,2007-10-02,,https://patents.google.com/patent/KR20070097084A/en,https://patentimages.storage.googleapis.com/42/d3/11/e9286cb794f752/112007054747536-PCT00002.png
KR-101544074-B1,Ａｒ 애플리케이션들을 위한 효율적인 블렌딩 방법들 ,퀄컴 인코포레이티드,"형일 구, 영기 백, 범수 김",2011-06-30,2012-06-22,2015-08-12,2015-08-12,https://patents.google.com/patent/KR101544074B1/ko,https://patentimages.storage.googleapis.com/23/68/3a/c00df15ecb9c65/112014009583059-pct00007.png
KR-950012564-B1,N-indanyl carboxamide derivative and agricultural/horticalturafangicide containg the derivative ar active ingredient ,"시바따 마쯔지로, 미쓰비시 가가꾸 가부시끼가이샤","마사쯔구 오다, 도시로 사까끼, 나오꼬 사까끼, 히로후미 도미따, 노부유끼 노나까",1987-02-25,1988-02-24,1995-10-19,1995-10-19,https://patents.google.com/patent/KR950012564B1/en,
KR-101431366-B1,Augmented reality proximity sensing ,엠파이어 테크놀로지 디벨롭먼트 엘엘씨,피터 엔 밀포드,2010-07-20,2010-07-20,2014-08-19,2014-08-19,https://patents.google.com/patent/KR101431366B1/en,https://patentimages.storage.googleapis.com/c1/48/b1/779cba5313d85d/112012089513991-pct00002.png
KR-101617111-B1,무선 통신 디바이스들에 대한 핸즈-프리 증강 현실 ,퀄컴 인코포레이티드,"바박 포루탄푸어, 루벤 엠 벨라르데, 데이비드 엘 베드너, 브라이언 리 모메이어",2011-11-08,2012-10-10,2016-04-29,2016-04-29,https://patents.google.com/patent/KR101617111B1/ko,https://patentimages.storage.googleapis.com/6a/ae/e0/c1a41ba3ccffef/112014052928779-pct00001.png
KR-20080071609-A,골관절염 치료를 위한 ａ3 아데노신 수용체 아고니스트의용도 ,캔-파이트 바이오파마 리미티드,니나 피쉬맨,2005-11-30,2006-11-29,2008-08-04,,https://patents.google.com/patent/KR20080071609A/ko,https://patentimages.storage.googleapis.com/a7/99/65/3132ebb48822ef/112008045450459-PCT00010.png
KR-20160079788-A,"정보 처리 장치, 정보 처리 방법 및 프로그램 ",소니 주식회사,"도시유키 나카가와, 히로타카 이시카와, 야스키 가네마",2013-11-05,2014-10-24,2016-07-06,,https://patents.google.com/patent/KR20160079788A/ko,https://patentimages.storage.googleapis.com/de/81/da/f285d2c6b7cbf0/pct00001.png
KR-20070100261-A,염증 치료법 ,캔-파이트 바이오파마 리미티드,"사라 바-예후다, 프니나 피쉬맨",2004-12-02,2005-11-30,2007-10-10,,https://patents.google.com/patent/KR20070100261A/ko,https://patentimages.storage.googleapis.com/52/22/58/1b5b6c6e92b420/112007047722946-PCT00010.png
KR-101743858-B1,Methods and apparatus for augmented reality target detection ,퀄컴 인코포레이티드,"줄리아노 마치오치, 앤드류 제이 에버릿",2013-03-15,2014-03-13,2017-06-05,2017-06-05,https://patents.google.com/patent/KR101743858B1/en,https://patentimages.storage.googleapis.com/62/e1/e7/14a2cfaceb9617/112015097729992-pct00001.png
KR-20120035036-A,"증강 현실을 이용한 영상 데이터 생성 방법 및 재생 방법, 그리고 이를 이용한 촬영 장치 ",삼성전자주식회사,서경열,2010-10-04,2010-10-04,2012-04-13,,https://patents.google.com/patent/KR20120035036A/ko,https://patentimages.storage.googleapis.com/b5/be/d0/a839f8d7916170/pat00001.png
KR-101299910-B1,"Method, User Terminal and Remote Terminal for Sharing Augmented Reality Service ",주식회사 팬택,최봉원,2010-08-18,2010-08-18,2013-08-23,2013-08-23,https://patents.google.com/patent/KR101299910B1/en,https://patentimages.storage.googleapis.com/dc/45/75/8e9d2153482aee/112010053207147-pat00001.png
KR-20160048874-A,Method and apparatus for representing physical scene ,퀄컴 인코포레이티드,"아이린 라이즈너-콜만, 이스트반 시크로시, 키 판, 미카엘 게르바츠, 앤드류 지",2013-08-30,2014-08-29,2016-05-04,,https://patents.google.com/patent/KR20160048874A/en,https://patentimages.storage.googleapis.com/a7/da/52/a4356e053c8c42/pct00001.png
KR-101188179-B1,위치정보와 증강현실기술을 활용한 보물찾기 게임식 광고?홍보 방법 ,동국대학교 경주캠퍼스 산학협력단,"강장묵, 송유진",2010-10-25,2010-10-25,2012-10-17,2012-10-17,https://patents.google.com/patent/KR101188179B1/ko,https://patentimages.storage.googleapis.com/13/3d/ef/70af9e58c9857b/112010068729175-pat00001.png
KR-101691903-B1,Methods and apparatus for using optical character recognition to provide augmented reality ,인텔 코포레이션,"브라드포드 에이치. 니드함, 케빈 씨. 웰스",2013-03-06,2013-03-06,2017-01-02,2017-01-02,https://patents.google.com/patent/KR101691903B1/en,https://patentimages.storage.googleapis.com/90/5a/f6/ec5e880f5ae490/112015075275927-pct00001.png
KR-20140003641-A,디스플레이용의 저반사율 내지문성 표면 ,"유니-픽셀 디스플레이스, 인코포레이티드","잉 져우, 니르야 사란, 마틴 에이. 킥타, 오스트랜드 다니엘 밴, 에드 에스. 라마크리쉬낸, 로버트 제이. 페트카비치",2011-04-29,2012-03-05,2014-01-09,,https://patents.google.com/patent/KR20140003641A/ko,https://patentimages.storage.googleapis.com/dd/b0/57/83520e2d54825f/pct00001.png
KR-101748226-B1,"Method for discovering augmented reality object, and terminal ",후아웨이 디바이스 컴퍼니 리미티드,"궈칭 리, 쯔하오 진",2013-01-28,2014-01-23,2017-06-16,2017-06-16,https://patents.google.com/patent/KR101748226B1/en,https://patentimages.storage.googleapis.com/d0/af/5c/317897f1ef8707/112015082352268-pct00001.png
KR-20170089854-A,"Display control device, display control method, and program ",소니 주식회사,"히로타카 이시카와, 다케시 이와츠",2014-12-04,2015-09-08,2017-08-04,,https://patents.google.com/patent/KR20170089854A/en,https://patentimages.storage.googleapis.com/37/d0/2a/b047bb106a5a70/pct00001.png
KR-20120133648-A,증강현실 컨텐츠를 통해 타겟장치를 제어하는 제어단말기 및 서버 ,삼성에스디에스 주식회사,"권문영, 홍승표, 최정아, 김형찬",2011-05-31,2011-05-31,2012-12-11,,https://patents.google.com/patent/KR20120133648A/ko,https://patentimages.storage.googleapis.com/ca/1a/05/4ea4d4eb2df8ef/pat00001.png
KR-100607154-B1,Waterproofing Material of Duplex Rubberized Asphalt Membrane plus Felt And Its Method For Application ,"배문옥, 한본인더스트리 주식회사",배문옥,2004-09-17,2004-09-17,2006-08-01,2006-08-01,https://patents.google.com/patent/KR100607154B1/en,https://patentimages.storage.googleapis.com/b8/26/5a/36851ee34451a0/112004042332091-pat00001.png
KR-20120032336-A,Method for displaying information of augmented reality and terminal thereof ,엘지전자 주식회사,"이지연, 정병주, 지현호",2010-09-28,2010-09-28,2012-04-05,,https://patents.google.com/patent/KR20120032336A/en,https://patentimages.storage.googleapis.com/b5/22/67/940e7259da1788/pat00001.png
KR-930007949-A,"치환된 피리미딘, 이의 제조 방법, 이를 함유하는 약제학적 조성물 및 이의 용도 ","이건 이.버그, 아메리칸 홈 프로덕츠 코포레이션","왓슨 엘링보이 존, 니케이도 마들렌, 프램로즈 바글리 지한",1991-10-24,1992-10-23,1993-05-20,,https://patents.google.com/patent/KR930007949A/ko,
KR-20070087239-A,반사 방지 코팅을 갖는 광학 렌즈 제조 방법 및 그에 의해제조된 광학 제품 ,옵티마 인코포레이티드,"니콜라스 쥐. 니에젤로우, 글렌 에이. 코에니그",2003-05-23,2004-05-18,2007-08-27,,https://patents.google.com/patent/KR20070087239A/ko,https://patentimages.storage.googleapis.com/65/c5/18/3be1fb6b19cd56/112007055290068-PAT00002.png
KR-100544451-B1,신경돌기 성장을 촉진하는 방법 및 조성물 ,버텍스 파마슈티칼스 인코포레이티드,"수마이클, 젤로버트이",1996-11-13,1997-11-13,2006-01-24,2006-01-24,https://patents.google.com/patent/KR100544451B1/ko,
KR-100883461-B1,Sugar-substituted 2-azetidinones useful as hypocholesterolemic agents ,쉐링 코포레이션,"고살아니마, 데이비스해리알., 알톤케빈비., 이아누치로버트엠., 즈바이다쉬무엘, 챠우더리스와판케이., 패트릭제임스이., 펭웬킹",2000-12-20,2001-12-17,2009-02-16,2009-02-16,https://patents.google.com/patent/KR100883461B1/en,
KR-20150099402-A,"증강된 가상 현실을 사용하는, 원격 참여자들 간의 개선된 통신 ",아바야 인코포레이티드,"타마르 바루자, 야이르 위너, 오리 모다이, 아자리아 코헨",2014-01-24,2015-01-22,2015-08-31,,https://patents.google.com/patent/KR20150099402A/ko,https://patentimages.storage.googleapis.com/be/05/8d/8c985e41ba3ca8/pat00001.png
KR-100876496-B1,Weather STEEL gas shielded arc welding solid wires and gas shielded arc welding method using the same ,가부시키가이샤 고베 세이코쇼,"도시히코 나카노, 레이이치 스즈키",2006-04-28,2007-04-26,2008-12-31,2008-12-31,https://patents.google.com/patent/KR100876496B1/en,https://patentimages.storage.googleapis.com/2d/db/ad/5cc09656b8e6b8/112007031729159-pat00009.png
KR-20010023353-A,올레핀의 중합 방법 ,"메리 이. 보울러, 이 아이 듀폰 디 네모아 앤드 캄파니","에드워드 브라이언 코플린, 사무엘 데이비드 아더, 스티븐 데일 이텔",1997-08-27,1998-08-26,2001-03-26,,https://patents.google.com/patent/KR20010023353A/ko,
KR-100259403-B1,열연강판 및 그 제조방법 ,"에모또 간지, 가와사끼 세이데쓰 가부시키가이샤","가즈히로 세또, 게이 사까따, 오사무 후루끼미, 다까시 오바라",1995-08-31,1996-08-30,2000-06-15,2000-06-15,https://patents.google.com/patent/KR100259403B1/ko,https://patentimages.storage.googleapis.com/b6/9b/b7/fe73ff5f4c389d/kpo00025.png
KR-930006026-A,Enke sold xylanase and carboxyalkyl derivatives useful as inhibitors of angiotensin converting enzyme (ace) ,"스티븐 엘. 네스비트, 메렐 다우 파마슈티칼스 인크.","엠.와샤우스키 앨랜, 에이. 플린 개리",1991-09-27,1992-09-26,1993-04-20,,https://patents.google.com/patent/KR930006026A/en,
KR-940010997-A,The hypoglycaemia ,"지바따 이찌로, 다나베세이야꾸 가부시끼가이샤","겐지 쯔지하라, 미쯔야 혼구, 노부유끼 후나미, 마사노리 이나마스, 겐지 아라까와",1992-11-12,1993-11-12,1994-06-20,,https://patents.google.com/patent/KR940010997A/en,
KR-101052433-B1,자이라제 및/또는 토포이소머라제 ⅳ 억제제로서의 2-우레이도-6-헤테로아릴-3ｈ-벤조이미다졸-4-카복실산 유도체 및 이를 포함하는 세균 감염 치료용 약제학적 조성물 ,버텍스 파마슈티칼스 인코포레이티드,"그릴롯안느-로르, 데이닝어데이비드디, 드럼죠셉, 랴오위성, 스타모스딘, 올리버-샤퍼파트리시아, 차립슨폴",2002-06-13,2003-06-11,2011-07-29,2011-07-29,https://patents.google.com/patent/KR101052433B1/ko,
KR-100453315-B1,"Physical vapor deposition vacuum chamber, Method of the physical vapor deposition, and Thin film device and Liquid crystal display thereby ",샤프 가부시키가이샤,"나카타유키히코, 보우차스아포스톨로스",2000-05-22,2001-05-22,2004-10-15,2004-10-15,https://patents.google.com/patent/KR100453315B1/en,
KR-101320469-B1,희유 기체 차폐를 이용한 제 1철 강의 금속심 기체 금속아크 용접 ,호바트 브라더스 컴파니,"스티브 바호스트, 조셉 번디, 다일 던칸",2004-03-19,2005-03-18,2013-10-24,2013-10-24,https://patents.google.com/patent/KR101320469B1/ko,https://patentimages.storage.googleapis.com/51/a6/66/0166993e1cfbc6/112005014311818-pat00001.png
KR-940019682-A,"A sulfamoyl group and an amidino group with a compound, method for preparing them and pharmaceutical compositions containing them ","로날드 샤피라, 이엘에프 사노피","크리스토프 베르나르드, 폴론 로익, 펠레트 알랭, 세르라데일-르 갈 클라우딘, 발레테 게라르드",1993-02-15,1994-02-15,1994-09-14,,https://patents.google.com/patent/KR940019682A/en,
KR-101413997-B1,Quinoline derivatives as antibacterial agents ,얀센 파마슈티카 엔.브이.,"제롬 에밀 조지 귈레몽, 엘리자베스 테레세 장 파스퀴에르, 데이비드 프란시스 알랜 란코이스, 코엔라드 요제프 로데비이크 마르셀 안드리스, 아닐 코울, 레오 야코부스 요제프 백스, 리벤 메르포엘",2005-08-03,2006-07-31,2014-07-01,2014-07-01,https://patents.google.com/patent/KR101413997B1/en,
KR-100244372-B1,신규한 면역 억제성 화합물 ,"조슈아 에스.보저, 버텍스 파마슈티칼스 인코포레이티드",데이비드 엠 아미스테드,1991-05-09,1992-05-11,2000-03-02,2000-03-02,https://patents.google.com/patent/KR100244372B1/ko,
KR-840000693-B1,Process for preparing protection of hyophilized betalactams from color formation ,"요시도시 가즈오, 시오노기세이야꾸 가부시끼 가이샤","에이조 히라이, 가즈히로 시마",1980-06-23,1981-06-22,1984-05-21,1984-05-21,https://patents.google.com/patent/KR840000693B1/en,
KR-20030045060-A,텅스텐 스퍼터링 타겟 및 그 제조 방법 ,가부시끼가이샤 도시바,"고이찌 와따나베, 요이찌로 야베, 다까시 이시가미, 다까시 와따나베, 히또시 아오야마, 야스오 고사까, 유끼노부 스즈끼",2000-09-07,2001-09-03,2003-06-09,,https://patents.google.com/patent/KR20030045060A/ko,
KR-100520401-B1,Farnesyl transferase inhibiting quinazolinones ,얀센 파마슈티카 엔.브이.,"안기바우드패트릭르네, 베네뜨마르끄까스똥, 프레이네에디장에드가드",1997-04-25,1998-04-17,2005-10-12,2005-10-12,https://patents.google.com/patent/KR100520401B1/en,
KR-100733577-B1,Quinoline derivatives and their use as mycobacterial inhibitors ,얀센 파마슈티카 엔.브이.,"제롬 에밀 조오지 귈레몽, 라우렌스 프랑스와즈 베르나데트 데크랜, 게스텔 요세프 프란스 엘리자베싸 반, 마르크 가스통 베네트, 다니엘 에프 제이 베르니에르, 프랭크 크리스토퍼 오즈, 헤르베 얀 요세프 포이그네트",2002-07-25,2003-07-18,2007-06-29,2007-06-29,https://patents.google.com/patent/KR100733577B1/en,
KR-900004527-B1,New methylene linked aromatic pour point depressant composition and it's concentration ,"죠오지 아아르 힐, 더 루우브리졸 코오포레이션","엘 코스터사이크 조지프, 큐우.에이.리즈비 사이에드",1985-12-30,1986-12-15,1990-06-29,1990-06-29,https://patents.google.com/patent/KR900004527B1/en,
KR-20070099474-A,"Organic-inorganic composite semiconductor material, liquid material, organic light emitting element, method for manufacturing organic light emitting element, light emitting device and electronic apparatus ","규슈덴료쿠 가부시키가이샤, 다이덴 가부시키가이샤, 세이코 엡슨 가부시키가이샤","다케오 가와세, 야스유키 고토, 미츠하루 노토, 리에 마키우라, 도모유키 오쿠야마, 츠요시 하야시다",2006-04-03,2007-04-03,2007-10-09,,https://patents.google.com/patent/KR20070099474A/en,https://patentimages.storage.googleapis.com/4e/56/7b/14a5c6c2c6e424/112007025859842-PAT00025.png
KR-930022947-A,"제초조성물, 그의 제조방법 및 제초제로서의 사용 ","알베르투스 빌헬무스·요아네스 제스트라텐, 셀 인터나쵸 나아레 레사아치 마아츠 샤피 비이부이","클리이만 아셀, 먼로 데이빗, 파텔 비핀",1992-05-27,1993-05-26,1993-12-18,,https://patents.google.com/patent/KR930022947A/ko,
KR-101129116-B1,혼합 불활성 성분 냉매를 사용한 냉각 사이클 ,"브룩스 오토메이션, 인크.","미크하일 보이아르스키, 올레그 포드처니아에브, 케빈 피. 플린",2004-01-28,2005-01-28,2012-03-26,2012-03-26,https://patents.google.com/patent/KR101129116B1/ko,https://patentimages.storage.googleapis.com/b7/88/64/06f484ae3809fd/112006061870899-pct00001.png
KR-970707077-A,우수한 다중-약물 내성 활성을 가진 신규한 아미노산 유도체(novel amino acid derivatives with improved multi-drug resistance activity) ,"조슈아 에스. 보거, 버텍스 파마슈티칼즈 인코오포레이티드","이. 젤레 로버트, 더블유. 하딩 매튜",1994-11-16,1995-11-13,1997-12-01,,https://patents.google.com/patent/KR970707077A/ko,
KR-100364947-B1,"Enke sold novel mercapto-acetyl-amides useful as inhibitors of xylanase and ace FIG 1,3,4,5- tetrahydro-benzo [c] azepin-3-one disulfide derivatives ",메렐 파마슈티칼스 인크.,"게리 에이. 플린, 더글라스 더블유. 바이트, 앨런 엠. 바르샤브스키, 슈야스 메흐디, 존 에프. 프렌치, 존 에이치. 켄",1994-02-14,1995-01-09,2003-03-06,2003-03-06,https://patents.google.com/patent/KR100364947B1/en,
KR-100256839-B1,방향족 카르보네이트의 제조 방법 ,"야마모토 카즈모토, 아사히 가세이 고교 가부시키가이샤","교스께 고미야, 마사히로 도조, 신스께 후꾸오까",1995-09-22,1996-09-20,2000-05-15,2000-05-15,https://patents.google.com/patent/KR100256839B1/ko,
KR-101874962-B1,Composition and organic optoelectric device and display device ,제일모직 주식회사,"민수현, 강기욱, 강동민, 강의수, 김윤환, 양용탁, 오재진, 이남헌, 류진현, 유은선, 정호국, 조영경",2013-07-01,2017-10-24,2018-07-05,2018-07-05,https://patents.google.com/patent/KR101874962B1/en,https://patentimages.storage.googleapis.com/2b/83/9b/d3763c634369df/112017105115375-pat00044.png
KR-20010107651-A,Apparatus and method to sputter silicon films ,"마찌다 가쯔히꼬, 샤프 가부시키가이샤","나카타유키히코, 보우차스아포스톨로스",2000-05-22,2001-05-22,2001-12-07,,https://patents.google.com/patent/KR20010107651A/en,
KR-20000070111-A,에틸렌의 중합 방법 ,"메리 이. 보울러, 이 아이 듀폰 디 네모아 앤드 캄파니, 유니버시티 오브 노쓰 캐롤라이나-채플 힐","조단 로렌스 베넷, 모리스 에스. 3세 브룩하트, 린다 케이예 존슨, 크리스토퍼 무어 킬리안",1997-01-14,1998-01-13,2000-11-25,,https://patents.google.com/patent/KR20000070111A/ko,
KR-950016738-A,알쯔하이머 질병의 억제 방법 ,"피터 지. 스트링거, 일라이 릴리 앤드 캄파니",코넬리어스 메이 패트릭,1993-12-21,1994-12-19,1995-07-20,,https://patents.google.com/patent/KR950016738A/ko,
KR-101037095-B1,건성안 장애의 치료를 위한 아데노신 ａ3 수용체 아고니스트 ,캔-파이트 바이오파마 리미티드,"타티아나 레이트블레트, 니나 피쉬맨",2006-01-27,2006-02-01,2011-05-26,2011-05-26,https://patents.google.com/patent/KR101037095B1/ko,
KR-950016727-A,Method of increasing thrombomodulin expression ,"피터 지. 스트링거, 일라이 릴리 앤드 캄파니","스코트 칼네크 데이비드, 윌리암 그리넬 브라이언",1993-12-21,1994-12-19,1995-07-20,,https://patents.google.com/patent/KR950016727A/en,
KR-950016722-A,Ldl method of inhibiting oxidation and atherosclerosis ,"피터 지. 스트링거, 일라이 릴리 앤드 캄파니",해롤드 주커만 스티븐,1993-12-21,1994-12-19,1995-07-20,,https://patents.google.com/patent/KR950016722A/en,
KR-20040072715-A,Method for producing scopine esters ,베링거 잉겔하임 파르마 게엠베하 운트 코 카게,"브란덴부르크외르크, 프렌글레발데마르, 랄베르너",2002-01-12,2002-12-24,2004-08-18,,https://patents.google.com/patent/KR20040072715A/en,
KR-100517832-B1,(Imidazol-5-yl)methyl-2-quinolinone derivatives as inhibitors of smooth muscle cell proliferation ,얀센 파마슈티카 엔.브이.,"엔드데이비드윌리암, 젤레스코미카엘제이.",1997-06-02,1998-05-25,2005-09-30,2005-09-30,https://patents.google.com/patent/KR100517832B1/en,
KR-100517852-B1,Polymerization of Olefins ,이 아이 듀폰 디 네모아 앤드 캄파니,"린다 카이예 죤슨, 앨리슨 마가렛트 앤 벤네트, 스티븐 댈 아이텔, 린 왕, 앤쥬 파타새라티, 엘리자베쓰 홉트만, 로버트 디. 심프슨, 제랄드 펠드만, 에드워드 브라이언 코프린",1997-01-14,1998-01-13,2005-09-30,2005-09-30,https://patents.google.com/patent/KR100517852B1/en,
KR-100480662-B1,신경돌기성장을촉진시키는조성물및그방법 ,버텍스 파마슈티칼스 인코포레이티드,아미스테드 데이비드 엠.,1995-06-08,1996-06-06,2005-09-12,2005-09-12,https://patents.google.com/patent/KR100480662B1/ko,
KR-100197083-B1,Process for racemization of optically active 1-aryl-alkylamines ,"클라우드 리우터, 군터 슈마처, 바이엘 악티엔게젤샤프트","에르. 얀센 요한네스, 리트만 마르틴",1990-12-01,1991-11-29,1999-06-15,1999-06-15,https://patents.google.com/patent/KR100197083B1/en,
KR-20010030023-A,유전체막 및 그 제조방법 ,마츠시타 덴끼 산교 가부시키가이샤,"고하라나오키, 사와다다이스케, 기타가와마사토시, 우에노야마다케시",1999-08-20,2000-07-28,2001-04-16,,https://patents.google.com/patent/KR20010030023A/ko,
KR-890701497-A,혼합된 금속방향족 배위착염으로부터 abo₃화합물을 제조하는 방법 ,"리차드 지.워터맨, 더 다우 케미칼 캄파니","에이취 헤이스탠드 Ii 로버트, 지.듀키트 로렌스",1987-08-24,1988-08-23,1989-12-20,,https://patents.google.com/patent/KR890701497A/ko,
KR-950704330-A,Rapamycin carbonate ester (Rapamycin carbonate esters as immunosuppressant agents) as an immunosuppressive agent ,"이곤 이.버그, 아메리카 홈 프로덕츠 코포레이션",쳉 후 데이비드,1992-11-19,1993-10-06,1995-11-17,,https://patents.google.com/patent/KR950704330A/en,
KR-940005956-B1,방향족 카르보네이트의 연속 제조방법 ,"에리 마사요시, 아사히가세이고오교 가부시끼가이샤","신스께 후꾸오까, 마사히로 도조, 마오루 가와무라",1989-12-28,1990-12-28,1994-06-25,1994-06-25,https://patents.google.com/patent/KR940005956B1/ko,
KR-0129754-B1,퀴나졸린 유도체 ,"메리 앤 터커, 일라이 릴리 앤드 캄파니","알렌 드레이콘 베리, 조오지 슈어 로버트, 필 조르단 글렌, 글레이스비 라이트 아이안",1988-01-29,1989-01-27,1998-04-09,1998-04-09,https://patents.google.com/patent/KR0129754B1/ko,
KR-950018006-A,Imidazopyridine ,"위르겐 호이만, 라인하르트 슈틀러, 메르크 파텐트 게젤샤프트 미트 베쉬랭크터 하프퉁","도르쉬 디어터, 메더스키 베르너, 오스발트 마티아스, 쉘링 피에르, 바이어 노르베르트, 루에스 잉게보르크, 밍크 클라우스-옷토",1993-12-06,1994-12-05,1995-07-22,,https://patents.google.com/patent/KR950018006A/en,
KR-100265544-B1,연료 및 윤활제용 첨가제로서 유용한 금속염 ,"스티븐에이디비아세, 더 루우브리졸 코오포레이션","리이 블리스톤 쉐리, 케이 에스 클리블랜드 윌리엄, 어니스트 아담스 포올",1992-04-16,1993-04-05,2000-09-15,2000-09-15,https://patents.google.com/patent/KR100265544B1/ko,
KR-950032375-A,"방향족 코폴리아미드, 이의 제조방법, 성형된 구조물 및 이의 제조방법 ","카흐홀쯔, 루쯔, 훽스트 아크티엔게젤샤프트","융 홀거, 노이에르트 리하르트, 클라인 페터",1994-04-06,1995-04-06,1995-12-20,,https://patents.google.com/patent/KR950032375A/ko,
KR-100503402-B1,Process for producing sintered product ,세이코 엡슨 가부시키가이샤,"사카타마사아키, 시모다이라겐이치",1998-05-07,1999-05-06,2005-07-26,2005-07-26,https://patents.google.com/patent/KR100503402B1/en,
KR-100543956-B1,Steel plate excellent in shape freezing property and method for production thereof ,신닛뽄세이테쯔 카부시키카이샤,"다카하시마나부, 스기우라나츠코, 요시나가나오키, 요시다도루",2000-09-21,2001-09-21,2006-01-23,2006-01-23,https://patents.google.com/patent/KR100543956B1/en,https://patentimages.storage.googleapis.com/fa/23/02/2d7e2b9a5b3e11/112003010017309-pct00035.png
KR-20000075502-A,"N-oxides of heterocyclic esters, amides, thioesters, and ketones ","다니엘 피.맥콜럼, 쥐피아이 엔아이엘 홀딩스, 인코포레이티드","해밀턴그레고리에스, 스테이너조셉피, 버랙에릭에스",1997-02-28,1998-02-26,2000-12-15,,https://patents.google.com/patent/KR20000075502A/en,
KR-100227235-B1,"Method for manufacturing a high formable, high strength, cold rolled steel sheet excellent in resistance to secondary working embrittlement ","에모토 간지, 가와사키 세이테츠 가부시키가이샤","가즈히로 세토, 가네하루 오쿠다, 게이 사카타, 도시유키 가토우, 다카시 오노",1993-12-24,1994-12-23,1999-11-01,1999-11-01,https://patents.google.com/patent/KR100227235B1/en,
